年份,节日,主题,数据点,数值,单位,单位粒度,统计起止日,统计窗口,口径版本,指标口径类型,口径类型,数据性质,基期,假期天数,数值类型,采集日期,缺口标记,来源机构,报告/资料名,发布时间,可信度等级,URL,备注
2023,春节,新消费,销售季全国预制菜销售额,1307.53,亿元,亿元,2023-01-01 至 2023-01-27,7天,春节销售季口径,商务部社零,官方总量,实际,同比,7,春节销售季,2023-02-16,空,艾媒咨询（新华网转引）,吃吃喝喝火爆兔年春节,2023-02-10,C,https://ex.chinadaily.com.cn/exchange/partners/82/rss/channel/cn/columns/ma7abu/stories/WS63e5ed06a3102ada8b22e7d0.html,同比+43.6%（交叉印证：京东+600%/叮咚+500%）
2023,春节,旅行社,携程私家团订单同比,6,倍,倍数,2023-01-21 至 2023-01-27,7天,7天口径,平台GMV,平台自披露,实际,同比,7,水平值,2023-02-16,空,携程,2023年春节旅游总结报告,2023-01-27,C,https://www.ctg.cn/article/16513,新跟团亮眼
2023,春节,旅行社,途牛跟团游（打包产品）占比,43,%,百分比,2023-01-21 至 2023-01-27,7天,7天口径,客流人次,平台自披露,实际,无(水平值),7,水平值,2023-02-16,空,途牛旅游网,春节旅游数据,2023-01-27,C,https://www.sohu.com/a/634795264_114988,高于自由行/自驾
2023,春节,旅行社,途牛跨省游出游人次占比,68,%,百分比,2023-01-21 至 2023-01-27,7天,7天口径,客流人次,平台自披露,实际,无(水平值),7,水平值,2023-02-16,空,途牛旅游网（媒体转引）,春节旅游数据,2023-01-27,C,https://www.sohu.com/a/634795264_114988,近年来少数跨省主导假期
2023,春节,景区目的地,A级旅游景区正常开放数,10739,家,家,2023-01-21 至 2023-01-27,7天,7天口径,客流人次,官方总量,实际,无(水平值),7,水平值,2023-02-16,空,文化和旅游部,假期市场情况,2023-01-27,A,https://www.gov.cn/xinwen/2023-01/27/content_5738861.htm,占全国A级73.5%
2023,春节,景区目的地,免费开放A级旅游景区,1281,家,家,2023-01-21 至 2023-01-27,7天,7天口径,客流人次,官方总量,实际,无(水平值),7,水平值,2023-02-16,空,文化和旅游部,假期市场情况,2023-01-27,A,https://www.gov.cn/xinwen/2023-01/27/content_5738861.htm,占9%；62家5A免票
2023,春节,景区目的地,全国营业性演出场次,9400,余场次,场次,2023-01-21 至 2023-01-27,7天,7天口径,客流人次,官方总量,实际,同比,7,增长率,2023-02-16,空,文化和旅游部,假期市场情况,2023-01-27,A,https://www.gov.cn/xinwen/2023-01/27/content_5738861.htm,同比+40.92%；票房3.78亿元
2023,春节,景区目的地,同程酒店预订热门目的地Top10,西安/三亚/成都/重庆/上海/长沙/昆明/广州/南宁/深圳,清单,清单,2023-01-21 至 2023-01-27,7天,7天口径,客流人次,平台自披露,实际,无(水平值),7,复合,2023-02-16,空,同程旅行,2023春节假期旅行消费数据报告,2023-01,C,https://www.ctg.cn/article/16513,西安/杭州/哈尔滨+10倍
2023,春节,景区目的地,夜间文旅消费集聚区客流量,5212.2,万人次,人次,2023-01-21 至 2023-01-27,7天,7天口径,客流人次,官方总量,实际,无(水平值),7,水平值,2023-02-16,空,文化和旅游部,假期市场情况,2023-01-27,A,https://www.gov.cn/xinwen/2023-01/27/content_5738861.htm,243个集聚区，平均每夜3.06万人次
2023,春节,景区目的地,小众城市酒店预订同比（洛阳/开封/佛山/惠州）,1000,%,百分比,2023-01-21 至 2023-01-27,7天,7天口径,平台GMV,平台自披露,实际,同比,7,增长率,2023-02-16,空,同程旅行,2023春节假期旅行消费数据报告,2023-01,C,https://www.ctg.cn/article/16513,同比超10倍
2023,春节,景区目的地,携程平台热门国内目的地Top5,成都/上海/广州/北京/重庆,清单,清单,2023-01-21 至 2023-01-27,7天,7天口径,客流人次,平台自披露,实际,无(水平值),7,复合,2023-02-16,空,携程/飞猪,2023年春节旅游总结报告,2023-01,C,https://www.ctg.cn/article/16513,排名
2023,春节,景区目的地,营业性演出票房收入,3.78,亿元,亿元,2023-01-21 至 2023-01-27,7天,7天口径,旅游总花费,官方总量,实际,无(水平值),7,水平值,2023-02-16,空,文化和旅游部,假期市场情况,2023-01-27,A,https://www.gov.cn/xinwen/2023-01/27/content_5738861.htm,观演约323.8万人次
2023,春节,消费宏观,全国示范步行街客流量同比,62.2,%,百分比,2023-01-21 至 2023-01-27,7天,7天口径,客流人次,官方总量,实际,同比,7,水平值,2023-02-16,空,商务部,春节消费,2023-01-30,A,https://www.cnr.cn/ent/canyin/zixun/20230130/t20230130_526139606.shtml,—
2023,春节,消费宏观,商务部全国重点零售和餐饮企业销售额（农历同比）,6.8,%,百分比,2023-01-21 至 2023-01-27,7天,7天口径,商务部社零,官方总量,实际,同比,7,水平值,2023-02-16,空,商务部（央广网转引）,春节餐饮消费热度攀升,2023-01-30,A,https://www.cnr.cn/ent/canyin/zixun/20230130/t20230130_526139606.shtml,商务大数据监测
2023,春节,消费宏观,实物商品网上零售额同比,14.5,%,百分比,2023-01-21 至 2023-01-27,7天,7天口径,商务部社零,官方总量,实际,同比,7,水平值,2023-02-16,空,商务部,春节消费,2023-01-30,A,https://www.cnr.cn/ent/canyin/zixun/20230130/t20230130_526139606.shtml,全国网上年货节
2023,春节,消费宏观,档电影票房,67.58,亿元,亿元,2023-01-21 至 2023-01-27,7天,7天口径,旅游总花费,官方总量,实际,无(水平值),7,水平值,2023-02-16,空,国家电影局（央视网转引）,新春消费旺,2023-01-28,B,https://news.cctv.com/2023/01/28/ARTIiRwRmntHZM4IUPue2tZh230128.shtml,影史第二；超2022春节档
2023,春节,消费宏观,海南离岛免税人均消费,9959,元,元,2023-01-21 至 2023-01-27,7天,7天口径,离岛免税,官方总量,实际,无(水平值),7,水平值,2023-02-16,空,海口海关（新华社/中新网）,春节假期海南离岛免税,2023-01-28,A,https://www.chinanews.com/cj/2023/01-28/9942797.shtml,自购物金额15.6亿备注拆分；人数15.7万
2023,春节,消费宏观,海南离岛免税购物人数,15.7,万人次,人次,2023-01-21 至 2023-01-27,7天,7天口径,离岛免税,官方总量,实际,无(水平值),7,水平值,2023-02-16,空,海口海关（新华社/中新网）,春节假期海南离岛免税,2023-01-28,A,https://www.chinanews.com/cj/2023/01-28/9942797.shtml,自购物金额15.6亿备注拆分；人均9959元
2023,春节,消费宏观,海南离岛免税购物金额,15.6,亿元,亿元,2023-01-21 至 2023-01-27,7天,7天口径,离岛免税,官方总量,实际,同比,7,增长率,2023-02-16,空,海口海关（新华社/中新网）,春节假期海南离岛免税,2023-01-28,A,https://www.chinanews.com/cj/2023/01-28/9942797.shtml,同比+5.88%；人数15.7万；人均9959元
2023,春节,消费宏观,群众文化活动场次,11,万场,万场,2023-01-21 至 2023-01-27,7天,7天口径,客流人次,官方总量,实际,无(水平值),7,水平值,2023-02-16,空,文化和旅游部,假期市场情况,2023-01-27,A,https://www.gov.cn/xinwen/2023-01/27/content_5738861.htm,参与约4.73亿人次
2023,春节,消费宏观,餐饮堂食店均消费同比,10.8,%,百分比,2023-01-21 至 2023-01-27,7天,7天口径,商务部社零,官方总量,实际,同比,7,增长率,2023-02-16,空,商务部（国务院联防联控机制发布会，央视网转引）,促消费成热门关键词,2023-01-30,A,https://www.sohu.com/a/636128811_409908,店均口径；与餐饮堂食+15.4%同源不同口径
2023,春节,消费宏观,餐饮堂食消费同比,15.4,%,百分比,2023-01-21 至 2023-01-27,7天,7天口径,商务部社零,官方总量,实际,同比,7,水平值,2023-02-16,空,商务部（国务院联防联控机制发布会，央视网转引）,促消费成热门关键词,2023-01-30,A,https://www.sohu.com/a/636128811_409908,店均+10.8%
2023,春节,游客画像,游客平均出游距离,206.9,公里,公里,2023-01-21 至 2023-01-27,7天,7天口径,客流人次,官方总量,实际,同比,7,增长率,2023-02-16,空,中国旅游研究院（媒体转引）,春节旅游消费研究,2023-01,C,https://www.toutiao.com/article/7194738566721864225/,同比+57%；恢复76%（正常年份）
2023,春节,游客画像,目的地平均游憩半径,11.2,公里,公里,2023-01-21 至 2023-01-27,7天,7天口径,客流人次,官方总量,实际,同比,7,增长率,2023-02-16,空,中国旅游研究院,春节旅游消费研究,2023-01,C,https://www.toutiao.com/article/7194738566721864225/,同比+34.4%；恢复75%
2023,春节,酒店住宿,三亚主要酒店市场RevPAR,3080,元,元,2023-01-21 至 2023-01-27,7天,7天口径,酒店RevPAR,待核,实际,同比,7,增长率,2023-02-16,空,STR Global/NorthStar,三亚酒店市场春节黄金周,2023-02,B,http://www.northstarhk.com/newsinfo/5129192.html,同比+14%
2023,春节,酒店住宿,三亚主要酒店市场平均出租率,85,%,百分比,2023-01-21 至 2023-01-27,7天,7天口径,酒店RevPAR,待核,实际,同比,7,增长率,2023-02-16,空,STR Global/NorthStar（转引）,三亚酒店市场春节黄金周,2023-02,B,http://www.northstarhk.com/newsinfo/5129192.html,同比-7pct；初一至初七7天
2023,春节,酒店住宿,三亚主要酒店市场平均房价,3621,元,元,2023-01-21 至 2023-01-27,7天,7天口径,酒店RevPAR,待核,实际,同比,7,增长率,2023-02-16,空,STR Global/NorthStar,三亚酒店市场春节黄金周,2023-02,B,http://www.northstarhk.com/newsinfo/5129192.html,同比+23%
2023,春节,酒店住宿,中国饭店协会调研超七成住宿企业营收恢复至疫前,70,%以上,百分比,2023-01-21 至 2023-01-27,7天,7天口径,酒店RevPAR,待核,实际,无(水平值),7,水平值,2023-02-16,空,中国饭店协会（媒体转引）,酒店业率先复苏,2023-02-02,C,https://big5.china.com.cn/gate/big5/travel.china.com.cn/txt/2023-02/02/content_85084809.html,近40%反超；平均+15.6%
2023,春节,酒店住宿,华住集团RevPAR同比,120,%,百分比,2023-01-21 至 2023-01-27,7天,7天口径,酒店RevPAR,待核,实际,同比,7,增长率,2023-02-16,空,华住集团（中国饭店协会/媒体转引）,酒店业率先复苏,2023-02-02,C,https://big5.china.com.cn/gate/big5/travel.china.com.cn/txt/2023-02/02/content_85084809.html,平均出租率同比最高+70%
2023,春节,酒店住宿,锦江酒店综合RevPAR（1月25日）同比,94.4,%,百分比,2023-01-21 至 2023-01-27,7天,7天口径,酒店RevPAR,待核,实际,同比,7,水平值,2023-02-16,空,锦江酒店（中国区，媒体转引）,酒店业率先复苏,2023-02-02,C,https://big5.china.com.cn/gate/big5/travel.china.com.cn/txt/2023-02/02/content_85084809.html,接近疫前水平
2023,五一,交通出行,全国营业性客运日均发送量,5403.8,万人次,总量,日均,2023-04-29,2023-04-29至2023-05-03(5天),日均口径,交通客运,实测,实际,2022同期日均,5,2026-08-21,水平值,无,交通运输部,“五一”假期期间预计全国营业性客运量超2.7亿人次,A,A,https://www.gov.cn/lianbo/2023-05/03/content_5754036.htm
2023,五一,交通出行,全国铁路公路水路民航预计发送旅客总量,27019,万人次,总量,总量,2023-04-29,2023-04-29至2023-05-03(5天),5天口径,交通客运,实测,实际,2022同期日均,5,2026-08-21,水平值,无,交通运输部(新华社转引),“五一”假期期间预计全国营业性客运量超2.7亿人次,A,A,https://www.gov.cn/lianbo/2023-05/03/content_5754036.htm
2023,五一,交通出行,公路预计发送旅客,16309,万人次,总量,总量,2023-04-29,2023-04-29至2023-05-03(5天),5天口径,交通客运,实测,实际,2022同期日均,5,2026-08-21,水平值,无,交通运输部,“五一”假期期间预计全国营业性客运量超2.7亿人次,A,A,https://www.gov.cn/lianbo/2023-05/03/content_5754036.htm
2023,五一,交通出行,小客车流量累计,28138.21,万辆次,总量,总量,2023-04-29,2023-04-29至2023-05-03(5天),5天口径,交通流量,实测,实际,2022同期,5,2026-08-21,水平值,无,交通运输部,“五一”假期期间预计全国营业性客运量超2.7亿人次,A,A,https://www.gov.cn/lianbo/2023-05/03/content_5754036.htm
2023,五一,交通出行,民航预计发送旅客,941.5,万人次,总量,总量,2023-04-29,2023-04-29至2023-05-03(5天),5天口径,交通客运,实测,实际,2022同期日均,5,2026-08-21,水平值,无,交通运输部,“五一”假期期间预计全国营业性客运量超2.7亿人次,A,A,https://www.gov.cn/lianbo/2023-05/03/content_5754036.htm
2023,五一,交通出行,水路预计发送旅客,680.4,万人次,总量,总量,2023-04-29,2023-04-29至2023-05-03(5天),5天口径,交通客运,实测,实际,2022同期日均,5,2026-08-21,水平值,无,交通运输部,“五一”假期期间预计全国营业性客运量超2.7亿人次,A,A,https://www.gov.cn/lianbo/2023-05/03/content_5754036.htm
2023,五一,交通出行,铁路预计发送旅客,9088.1,万人次,总量,总量,2023-04-29,2023-04-29至2023-05-03(5天),5天口径,交通客运,实测,实际,2022同期日均,5,2026-08-21,水平值,无,交通运输部,“五一”假期期间预计全国营业性客运量超2.7亿人次,A,A,https://www.gov.cn/lianbo/2023-05/03/content_5754036.htm
2023,五一,交通出行,高速公路流量累计,31045.94,万辆次,总量,总量,2023-04-29,2023-04-29至2023-05-03(5天),5天口径,交通流量,实测,实际,2022同期,5,2026-08-21,水平值,无,交通运输部,“五一”假期期间预计全国营业性客运量超2.7亿人次,A,A,https://www.gov.cn/lianbo/2023-05/03/content_5754036.htm
2023,五一,政策与宏观,全国示范步行街客流量/营业额同比,+121.4/+87.6,复合,复合,2023-04-29,2023-04-29至2023-05-03(5天),5天口径,零售餐饮,实测,实际,2022同期,5,复合,2026-08-21,无,商务部,假期消费成绩单亮眼(央视网),2023-05-04,A,https://news.cctv.com/2023/05/04/ARTIOvnrMe5Z1vTq5d8S38QT230504.shtml,客流量+121.4% 营业额+87.6%
2023,五一,政策与宏观,全国重点零售和餐饮企业销售额同比,+18.9,%,总量,总量,2023-04-29,2023-04-29至2023-05-03(5天),5天口径,零售餐饮,实测,实际,2022同期,5,2026-08-21,增速,无,商务部(商务大数据监测),假期消费成绩单亮眼(央视网),A,A,https://news.cctv.com/2023/05/04/ARTIOvnrMe5Z1vTq5d8S38QT230504.shtml
2023,五一,政策与宏观,微信零售/交通/餐饮/酒旅较2019日均,+212/+198/+187/+93,复合,复合,2023-04-29,2023-04-29至2023-05-03(5天),5天口径,零售餐饮,平台披露,实际,2019同期,5,复合,2026-08-21,无,微信支付,2023“五一”游玩井喷数据报告,2023-05-04,C,https://k.sina.cn/article_1617264814_606580ae02001mvgj.html,平台口径; 增幅区间93%-212%
2023,五一,政策与宏观,支付宝假期前3天支付笔数/消费金额同比,+230/+200(较2022) /+70(较2019),复合,复合,2023-04-29,2023-04-29至2023-05-01(前3天),3天口径,零售餐饮,平台披露,实际,2022/2019同期,3,复合,2026-08-21,无,支付宝,支付宝“五一”消费洞察,2023-05-03,C,https://www.bbtnews.com.cn/2023/0504/474755.shtml,平台口径; 前3天
2023,五一,政策与宏观,消费相关行业销售收入同比(增值税发票),+24.4,%,总量,总量,2023-04-29,2023-04-29至2023-05-03(5天),5天口径,零售餐饮,实测,实际,2022同期,5,2026-08-21,增速,无,国家税务总局,供需互促 市场潜力大韧性强(央视网),A,A,https://news.cctv.com/2023/05/05/ARTIiBxEgnbSjhoxLOu0EWKE230505.shtml
2023,五一,政策与宏观,重点餐饮企业销售额同比,+57.9,%,总量,总量,2023-04-29,2023-04-29至2023-05-03(5天),5天口径,零售餐饮,实测,实际,2022同期,5,2026-08-21,增速,无,商务部,假期消费成绩单亮眼(央视网),A,A,https://news.cctv.com/2023/05/04/ARTIOvnrMe5Z1vTq5d8S38QT230504.shtml
2023,五一,政策与宏观,限额以上品类同比(石油/汽车/通信/家电/金银/服装/化妆品),+24.4/+20.9/+20.1/+13.9/+22.8/+18.4/+16.5,复合,复合,2023-04-29,2023-04-29至2023-05-03(5天),5天口径,零售餐饮,实测,实际,2022同期,5,复合,2026-08-21,无,商务部,假期消费成绩单亮眼(央视网),2023-05-04,A,https://news.cctv.com/2023/05/04/ARTIOvnrMe5Z1vTq5d8S38QT230504.shtml,石油24.4 汽车20.9 通信20.1 家电13.9 金银珠宝22.8 服装18.4 化妆品16.5
2023,五一,旅游行业平台,携程出境游整体订单同比,+近7倍,倍数,倍数,2023-04-29,2023-04-29至2023-05-03(5天),5天口径,跨境,平台披露,实际,2022同期,5,倍数,2026-08-21,无,携程,2023年五一出游数据报告,2023-05-04,C,https://www.cnr.cn/tech/techph/20230504/t20230504_526239695.shtml,平台口径; 非全市场
2023,五一,旅游行业平台,携程出游半径同比,+25,%,总量,总量,2023-04-29,2023-04-29至2023-05-03(5天),5天口径,平台订单,平台披露,实际,2022同期,5,2026-08-21,增速,无,携程,2023年五一出游数据报告,C,C,https://www.cnr.cn/tech/techph/20230504/t20230504_526239695.shtml
2023,五一,旅游行业平台,飞猪国内游预订量较春节,+翻倍(约+100),%,比率,2023-04-29,2023-04-29至2023-05-03(5天),5天口径,平台订单,平台披露,实际,春节,5,增速,2026-08-21,无,飞猪,长线游带动“吃住行游购娱”复苏(中国经济网),2023-05-04,C,https://www.ce.cn/cysc/newmain/yc/jsxw/202305/04/t20230504_38529448.shtml,平台口径
